Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
6047138,Curfewed Night,Basharat Peer,"Peer, Basharat",,"=""8184000340""","=""9788184000344""",0,4.05,Random House,Hardcover,256,2009,2009,,2022/07/11,,,read,,,,1,0
859844,No One Writes to the Colonel,Gabriel García Márquez,"Márquez, Gabriel García",J.S. Bernstein,"=""0140157492""","=""9780140157499""",0,3.79,Penguin,Paperback,69,1996,1961,,2022/07/08,,,read,,,,1,0
23878,Chronicle of a Death Foretold,Gabriel García Márquez,"Márquez, Gabriel García",Gregory Rabassa,"=""140003471X""","=""9781400034710""",0,3.97,Vintage,Paperback,120,2003,1981,,2022/07/07,,,read,,,,1,0
5107,The Catcher in the Rye,J.D. Salinger,"Salinger, J.D.",,"=""0316769177""","=""9780316769174""",0,3.80,Back Bay Books,Paperback,234,2001,1951,2022/05/11,2022/03/21,,,read,,,,1,0
33308012,Rehan Par Ragghu (Hindi),Kashinath Singh,"Singh, Kashinath",,"=""""","=""""",0,3.98,Rajkamal Prakashan,Kindle Edition,183,2016,2008,,2022/04/18,,,read,,,,1,0
1953,A Tale of Two Cities,Charles Dickens,"Dickens, Charles",Richard Maxwell,"=""0141439602""","=""9780141439600""",0,3.87,Penguin Books,Paperback,489,2003,1859,,2022/03/21,currently-reading,currently-reading (#2),currently-reading,,,,1,0
49552,The Stranger,Albert Camus,"Camus, Albert",Matthew  Ward,"=""""","=""""",0,4.02,Vintage International,Paperback,159,1989,1942,,2022/03/05,,,read,,,,1,0
55994371,China Room,Sunjeev Sahota,"Sahota, Sunjeev",,"=""0593298144""","=""9780593298145""",0,3.79,Viking,Hardcover,256,2021,2021,,2022/03/05,,,read,,,,1,0
32650,The Return of the Native,Thomas Hardy,"Hardy, Thomas",Alexander Theroux,"=""037575718X""","=""9780375757181""",0,3.87,Modern Library,Paperback,426,2001,1878,,2022/01/31,,,read,,,,1,0
56759,The Mayor of Casterbridge,Thomas Hardy,"Hardy, Thomas",Keith Wilson,"=""""","=""""",0,3.85,Penguin Books Ltd,Paperback,393,2003,1886,,2022/01/31,,,read,,,,1,0
1738852,എന്റെ കഥ | Ente Katha,Kamala Suraiyya Das,"Das, Kamala Suraiyya",Madhavikutty,"=""8171300596""","=""9788171300594""",0,3.76,,Paperback,107,2010,1973,,2022/01/26,,,read,,,,1,0
16299,And Then There Were None,Agatha Christie,"Christie, Agatha",,"=""0312330871""","=""9780312330873""",0,4.28,St. Martin's Griffin,Paperback,264,2004,1939,,2022/01/15,currently-reading,currently-reading (#1),currently-reading,,,,1,0
